Date,Close
5/14/2025,452.91
5/13/2025,449.14
5/12/2025,449.26
5/9/2025,438.73
5/8/2025,438.17
5/7/2025,433.35
5/6/2025,433.31
5/5/2025,436.17
5/2/2025,435.28
5/1/2025,425.4
4/30/2025,395.26
4/29/2025,394.04
4/28/2025,391.16
4/25/2025,391.85
4/24/2025,387.3
4/23/2025,374.39
4/22/2025,366.82
4/21/2025,359.12
4/17/2025,367.78
4/16/2025,371.61
4/15/2025,385.73
4/14/2025,387.81
4/11/2025,388.45
4/10/2025,381.35
4/9/2025,390.49
4/8/2025,354.56
4/7/2025,357.86
4/4/2025,359.84
4/3/2025,373.11
4/2/2025,382.14
4/1/2025,382.19
3/31/2025,375.39
3/28/2025,378.8
3/27/2025,390.58
3/26/2025,389.97
3/25/2025,395.16
3/24/2025,393.08
3/21/2025,391.26
3/20/2025,386.84
3/19/2025,387.82
3/18/2025,383.52
3/17/2025,388.7
3/14/2025,388.56
3/13/2025,378.77
3/12/2025,383.27
3/11/2025,380.45
3/10/2025,380.16
3/7/2025,393.31
3/6/2025,396.89
3/5/2025,401.02
3/4/2025,388.61
3/3/2025,388.49
2/28/2025,396.99
2/27/2025,392.53
2/26/2025,399.73
2/25/2025,397.9
2/24/2025,404
2/21/2025,408.21
2/20/2025,416.13
2/19/2025,414.77
2/18/2025,409.64
2/14/2025,408.43
2/13/2025,410.54
2/12/2025,409.04
2/11/2025,411.44
2/10/2025,412.22
2/7/2025,409.75
2/6/2025,415.82
2/5/2025,413.29
2/4/2025,412.37
2/3/2025,410.92
1/31/2025,415.06
1/30/2025,414.99
1/29/2025,442.33
1/28/2025,447.2
1/27/2025,434.56
1/24/2025,444.06
1/23/2025,446.71
1/22/2025,446.2
1/21/2025,428.5
1/17/2025,429.03
1/16/2025,424.58
1/15/2025,426.31
1/14/2025,415.67
1/13/2025,417.19
1/10/2025,418.95
1/8/2025,424.56
1/7/2025,422.37
1/6/2025,427.85
1/3/2025,423.35
1/2/2025,418.58
12/31/2024,421.5
12/30/2024,424.83
12/27/2024,430.53
12/26/2024,438.11
12/24/2024,439.33
12/23/2024,435.25
12/20/2024,436.6
12/19/2024,437.03
12/18/2024,437.39
12/17/2024,454.46
12/16/2024,451.59
12/13/2024,447.27
12/12/2024,449.56
12/11/2024,448.99
12/10/2024,443.33
12/9/2024,446.02
12/6/2024,443.57
12/5/2024,442.62
12/4/2024,437.42
12/3/2024,431.2
12/2/2024,430.98
11/29/2024,423.46
11/27/2024,422.99
11/26/2024,427.99
11/25/2024,418.79
11/22/2024,417
11/21/2024,412.87
11/20/2024,415.49
11/19/2024,417.79
11/18/2024,415.76
11/15/2024,415
11/14/2024,426.89
11/13/2024,425.2
11/12/2024,423.03
11/11/2024,418.01
11/8/2024,422.54
11/7/2024,425.43
11/6/2024,420.18
11/5/2024,411.46
11/4/2024,408.46
11/1/2024,410.37
10/31/2024,406.35
10/30/2024,432.53
10/29/2024,431.95
10/28/2024,426.59
10/25/2024,428.15
10/24/2024,424.73
10/23/2024,424.6
10/22/2024,427.51
10/21/2024,418.78
10/18/2024,418.16
10/17/2024,416.72
10/16/2024,416.12
10/15/2024,418.74
10/14/2024,419.14
10/11/2024,416.32
10/10/2024,415.84
10/9/2024,417.46
10/8/2024,414.71
10/7/2024,409.54
10/4/2024,416.06
10/3/2024,416.54
10/2/2024,417.13
10/1/2024,420.69
9/30/2024,430.3
9/27/2024,428.02
9/26/2024,431.31
9/25/2024,432.11
9/24/2024,429.17
9/23/2024,433.51
9/20/2024,435.27
9/19/2024,438.69
9/18/2024,430.81
9/17/2024,435.15
9/16/2024,431.34
9/13/2024,430.59
9/12/2024,427
9/11/2024,423.04
9/10/2024,414.2
9/9/2024,405.72
9/6/2024,401.7
9/5/2024,408.39
9/4/2024,408.9
9/3/2024,409.44
8/30/2024,417.14
8/29/2024,413.12
8/28/2024,410.6
8/27/2024,413.84
8/26/2024,413.49
8/23/2024,416.79
8/22/2024,415.55
8/21/2024,424.14
8/20/2024,424.8
8/19/2024,421.53
8/16/2024,418.47
8/15/2024,421.03
8/14/2024,416.86
8/13/2024,414.01
8/12/2024,406.81
8/9/2024,406.02
8/8/2024,402.69
8/7/2024,398.43
8/6/2024,399.61
8/5/2024,395.15
8/2/2024,408.49
8/1/2024,417.11
7/31/2024,418.35
7/30/2024,422.92
7/29/2024,426.73
7/26/2024,425.27
7/25/2024,418.4
7/24/2024,428.9
7/23/2024,444.85
7/22/2024,442.94
7/19/2024,437.11
7/18/2024,440.37
7/17/2024,443.52
7/16/2024,449.52
7/15/2024,453.96
7/12/2024,453.55
7/11/2024,454.7
7/10/2024,466.25
7/9/2024,459.54
7/8/2024,466.24
7/5/2024,467.56
7/3/2024,460.77
7/2/2024,459.28
7/1/2024,456.73
6/28/2024,446.95
6/27/2024,452.85
6/26/2024,452.16
6/25/2024,450.95
6/24/2024,447.67
6/21/2024,449.78
6/20/2024,445.7
6/18/2024,446.34
6/17/2024,448.37
6/14/2024,442.57
6/13/2024,441.58
6/12/2024,441.06
6/11/2024,432.68
6/10/2024,427.87
6/7/2024,423.85
6/6/2024,424.52
6/5/2024,424.01
6/4/2024,416.07
6/3/2024,413.52
5/31/2024,415.13
5/30/2024,414.67
5/29/2024,429.17
5/28/2024,430.32
5/24/2024,430.16
5/23/2024,427
5/22/2024,430.52
5/21/2024,429.04
5/20/2024,425.34
5/17/2024,420.21
5/16/2024,420.99
5/15/2024,423.08
5/14/2024,416.56
